track,artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
coney island (feat. The National),Taylor Swift,3k7ne7VmH43ZPWxPdvPUgR,0.537,0.537,8,-11.266,1,0.0617,0.819,0.000904,0.142,0.292,107.895
ivy,Taylor Swift,19CSr8rwW05VJL2F91KFNK,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-05,0.0921,0.535,88.856
cowboy like me,Taylor Swift,1XjHRolIXL2M1EEOUsGGR4,0.604,0.517,0,-9.014,1,0.0347,0.768,0.000155,0.123,0.511,127.967
long story short,Taylor Swift,2o2sgVJIgFXk8GQjWTgI6U,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895
marjorie,Taylor Swift,12ntTeqEeTg7GAVpe8Mhpl,0.535,0.561,5,-11.609,1,0.0484,0.876,0.000136,0.115,0.287,96.103
closure,Taylor Swift,35rdVq36LMHQX0Suw9a6tK,0.689,0.704,9,-10.813,1,0.245,0.835,4.83e-06,0.134,0.92,151.884
evermore (feat. Bon Iver),Taylor Swift,3O5osWf1rSoKMwe6E9ZaXP,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177
the 1,Taylor Swift,0P9wLFurlgumLXuqFEpw52,0.78,0.361,0,-6.942,1,0.048,0.75,7.14e-06,0.108,0.163,139.902
cardigan,Taylor Swift,7zcnlq38eqNWyUF6eNaB5Z,0.612,0.58,0,-8.572,0,0.0419,0.525,0.000414,0.26,0.534,130.045
the last great american dynasty,Taylor Swift,4ojxSyrEraN7d46BMBPThZ,0.688,0.653,7,-8.558,1,0.0403,0.481,0.00414,0.106,0.701,147.991
exile (feat. Bon Iver),Taylor Swift,6kz2hkq1xQvDqPcUyBkw8f,0.31,0.374,6,-8.464,1,0.0275,0.761,2.46e-05,0.11,0.16,75.938
my tears ricochet,Taylor Swift,0Oju1YcbPCJuUQQWoZNdJK,0.456,0.265,0,-10.663,1,0.0328,0.814,0.0,0.0679,0.112,129.947
mirrorball,Taylor Swift,5jQyGzcwqAxwT5QUIMivoX,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-06,0.0604,0.347,110.137
seven,Taylor Swift,2vJ7QvyCiR4DaHxwO58izA,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-05,0.0902,0.374,94.955
august,Taylor Swift,1UHoF9p75IVsvUt6WdTYhn,0.387,0.634,5,-9.222,1,0.0363,0.553,6.93e-05,0.0931,0.42,89.567
this is me trying,Taylor Swift,5DnDBYrfGoxdnomqEAkFIv,0.511,0.478,9,-9.837,1,0.0322,0.312,2.3e-05,0.147,0.408,135.882
illicit affairs,Taylor Swift,7CVTowKpGPA2MsIbkTl2oc,0.529,0.304,10,-10.567,1,0.0356,0.862,0.0,0.108,0.44,119.58
invisible string,Taylor Swift,4WHIqhrbdva5vQSrCuet3l,0.651,0.459,4,-11.128,0,0.0507,0.859,6.63e-05,0.105,0.454,83.455
mad woman,Taylor Swift,7klXN6RCN5Rj0VeYO5gBzU,0.593,0.7,3,-9.016,1,0.0492,0.67,6.77e-06,0.116,0.451,141.898
epiphany,Taylor Swift,5MFjHn1qfR9AsWuyzJLk1z,0.317,0.254,1,-13.679,1,0.0286,0.727,0.000326,0.0867,0.103,93.933
betty,Taylor Swift,2jhfs6moEAK13eLM6xim4l,0.595,0.376,0,-8.767,1,0.0256,0.589,0.0,0.0989,0.476,95.946
peace,Taylor Swift,0O9i6jhscByEJs1ipy5hu4,0.644,0.284,5,-12.879,1,0.0821,0.916,1.5e-05,0.0909,0.328,150.072
hoax,Taylor Swift,4XCYmu7QLySdIahgBALKJK,0.676,0.178,8,-15.01,1,0.0394,0.964,7.9e-06,0.135,0.404,118.84
